country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Uruguay,SouthAmerica,173626,3457,19.8,93.5,53442,6.8,28,65.2,6964,8137,-1173,2,12.7,8.6,4.4,160.2,106,10.4,113,58
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,19.2,32.9,47.9,27947,25652,2295,2.4,31.3,5.8,-99,73.3,59,7.6,2339,62
Vanuatu,Melanesia,12189,276,22.7,102.4,737,26.7,8.4,64.9,50,416,-366,3.4,24.3,5,5.5,66.2,137,36.1,1,12
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,99,344331,5.3,44.7,50,19731,16324,3407,2.4,13.8,5.3,...,93,328,53.1,7460,90
Viet Nam,South-easternAsia,330967,95541,308.1,98,193241,18.9,37,44.2,176632,174111,2520,2,19.3,7.1,5.7,130.6,616,47.2,2977,30
Wallis and Futuna Islands,Polynesia,142,12,84.1,93.4,-99,-99,-99,-99,1,53,-51,2.1,...,-99,-99,-99,89,41.6,-99,26
Western Sahara,NorthernAfrica,266000,553,2.1,110.1,-99,-99,-99,-99,-99,-99,-99,2.6,34.1,-99,-99,-99,49,2.7,-99,-99
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,14.7,36.9,48.4,570,6861,-6291,4.4,47.2,5.6,...,68,298,1,668,12
Zambia,EasternAfrica,752612,17094,23,98.5,21255,8.2,32.3,59.5,6505,7442,-937,5.2,53.8,5,...,74.5,88,65.6,374,26
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,13,30.5,56.5,2832,5212,-2379,4,46.5,6,8.4,84.8,89,37.2,482,30
